ID,Lat_utm,Lon_utm,Lat_deg,Lon_deg,SS-RSRP,SS-SINR,SS-RSRQ,SecArea_UEAllowed,UE_Loc
299,362310.6275,10170080.24,1.538404262,103.762274,-132.3929027,-9.006666667,-21.80666667,1,
300,362320.6275,10170080.24,1.538404314,103.7623639,-132.024168,-9.006666667,-21.80666667,1,
301,362330.6275,10170080.24,1.538404367,103.7624537,-131.437849,-8.205714286,-20.67,1,
302,362340.6275,10170080.24,1.538404419,103.7625436,-131.1440249,-8.205714286,-20.67,1,
303,362350.6275,10170080.24,1.538404472,103.7626335,-130.6827447,-7.1692,-19.25,1,
304,362360.6275,10170080.24,1.538404524,103.7627234,-130.2940249,-7.1692,-19.25,1,
305,362370.6275,10170080.24,1.538404577,103.7628132,-130.157849,-7.1692,-19.25,1,
306,362380.6275,10170080.24,1.538404629,103.7629031,-129.944168,-6.470909091,-18.3875,1,
307,362390.6275,10170080.24,1.538404681,103.762993,-129.9129027,-6.470909091,-18.3875,1,
308,362400.6275,10170080.24,1.538404734,103.7630829,-129.8639467,-6.470909091,-18.3875,1,YES
309,362410.6275,10170080.24,1.538404786,103.7631728,-129.9471706,-6.470909091,-18.3875,1,
310,362420.6275,10170080.24,1.538404839,103.7632626,-130.0424278,-7.1692,-19.25,1,
311,362430.6275,10170080.24,1.538404891,103.7633525,-130.2195608,-7.1692,-19.25,1,
312,362440.6275,10170080.24,1.538404944,103.7634424,-130.4084079,-7.1692,-19.25,1,
313,362450.6275,10170080.24,1.538404996,103.7635323,-130.6288107,-7.1692,-19.25,1,
314,362460.6275,10170080.24,1.538405048,103.7636222,-130.8606223,-7.1692,-19.25,1,
315,362470.6275,10170080.24,1.538405101,103.763712,-131.113715,-8.205714286,-20.67,1,
316,362480.6275,10170080.24,1.538405153,103.7638019,-131.3679884,-8.205714286,-20.67,1,
317,362490.6275,10170080.24,1.538405206,103.7638918,-131.643377,-8.205714286,-20.67,1,
318,362500.6275,10170080.24,1.538405258,103.7639817,-131.9398578,-8.205714286,-20.67,1,
319,362510.6275,10170080.24,1.53840531,103.7640715,-132.2774571,-9.006666667,-21.80666667,1,
320,362520.6275,10170080.24,1.538405363,103.7641614,-132.6362571,-9.006666667,-21.80666667,1,
321,362530.6275,10170080.24,1.538405415,103.7642513,-133.0364018,-9.506666667,-24.9,1,
322,362540.6275,10170080.24,1.538405468,103.7643412,-133.4481016,-9.506666667,-24.9,1,
323,362550.6275,10170080.24,1.53840552,103.7644311,-133.8916387,-9.506666667,-24.9,1,
324,362560.6275,10170080.24,1.538405572,103.7645209,-134.3573696,-10.455,-25.435,1,
325,362570.6275,10170080.24,1.538405625,103.7646108,-134.8357294,-10.455,-25.435,1,
326,362580.6275,10170080.24,1.538405677,103.7647007,-135.3372332,,,,
327,362590.6275,10170080.24,1.538405729,103.7647906,-135.8424783,,,,
328,362600.6275,10170080.24,1.538405782,103.7648805,-136.7621448,,,,
